#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;
k_volga_bulgaria;Itil Bulgar;Itil Bulgar;;;;x;;;;;;;;;;;;;;;;
k_cuman;Kipchak Khanlik;Kipchak Khanlik;;;;x;;;;;;;;;;;;;;;;
k_khiva;Khwarazmshahr;Khwarazmshahr;;;;x;;;;;;;;;;;;;;;;
k_afghanistan;Afghanistan;Afghanistan;;;;x;;;;;;;;;;;;;;;;
k_baluchistan;Balochi;Balochi;;;;x;;;;;;;;;;;;;;;;
k_persia;Eran;Eran;;;;x;;;;;;;;;;;;;;;;
k_mesopotamia;Sawâd;Sawâd;;;x;;;;;;;;;;;;;;;;;
k_egypt;Misr;Misr;;;;x;;;;;;;;;;;;;;;;
e_golden_horde;Züchii-in Uls;Züchii-in Uls;;;x;;;;;;;;;;;;;;;;;
e_il-khanate;Hulagu-yn Ulus;Hulagu-yn Ulus;;;x;;;;;;;;;;;;;;;;;
e_mongol_empire;Ikh Mongol Uls;Ikh Mongol Uls;;;x;;;;;;;;;;;;;;;;;
k_mongolia;Ikh Mongol Uls;Ikh Mongol Uls;;;x;;;;;;;;;;;;;;;;;
e_timurids;Teymourian;Teymourian;;;x;;;;;;;;;;;;;;;;;
e_tartaria;Kipchak Kaganlik;Kipchak Kaganlik;;;;;x;;;;;;;;;;;;;;;
e_persia;Eranshahr;Eranshahr;;;;;;;x;;;;;;;;;;;;;
e_arabia;Dar al-Islam;Dar al-Islam;;;;;x;;;;;;;;;;;;;;;
emperor_of_turkish;Padishah;Padishah;Padishah;;Emperador Padishah;;;;;;;;;x;;;;;;;;
empire_of_turkish;Padishahlari;Padishahlari;Padishah;;Emperador Padishah;;;;;;;;;x;;;;;;;;
empire_turkish;Padishahlari;Padishahlari;Padishah;;Emperador Padishah;;;;;;;;;x;;;;;;;;
emperor_arabic;Amir al-'umara';Amîr al-'umara';Padishah;;Emperador Padishah;;;;;;;;;x;;;;;;;;
duchy_of_greek;Thème de;Thème de;;;;;;;;;x;;;;;;;;;;;
county_of_greek;Katepanikion de;Katepanikion de;;;;;;;;;;x;;;;;;;;;;
e_otto_roum;Padishahlari-i-Rumeli;Padishahlari-i-Rumeli;;;;;;;;x;;;;;;;;;;;;
e_otto_roum_adj;turc;turc;;;;;;;;;;x;;;;;;;;;;
Padisotto;Padishah Kaysar-i-Rûm;Padishah Kaysar-i-Rûm;;;;;;;;x;;;;;;;;;;;;
k_britannia;Regnum Britanniae;Regnum Britanniae;;;;;;;;;;x;;;;;;;;;;
k_britannia_adj;Breton;Breton;;;;;;;;;;x;;;;;;;;;;
k_mallorca;Regnum Maioricae;Regnum Maioricae;;;;;;;;;;x;;;;;;;;;;
k_mallorca_adj;Majorquin;Majorquin;;;;;;;;;;x;;;;;;;;;;
k_spain_adj;Espagnol;Espagnol;;;;;;;;;;x;;;;;;;;;;
Impehre;Imperator Semper Augustus;Imperator Semper Augustus;;;;;;;;;;x;;;;;;;;;;
Impbyz;Basileus Autokratôr;Basileus Autokratôr;;;;;;;;;;x;;;;;;;;;;
Imprus;Tsar Autokratôr;Tsar Autokratôr;;;;;;;;;;x;;;;;;;;;;
Impslav;Tsar Basileus;Tsar Basileus;;;;;;;;;;x;;;;;;;;;;
Emperor;Imperator Caesar Augustus;Imperator Caesar Augustus;;;;;;;;;;x;;;;;;;;;;
Empress;Augusta;Augusta;;;;;;;;;;x;;;;;;;;;;
Implatin;Imperator Orientali;Imperator Orientali;;;;;;;;;;x;;;;;;;;;;
princedegalles;Princeps;Princeps;;;;;;;;x;;;;;;;;;;;;
emperor_female_german;Imperatrix;Imperatrix;Kaiserin;;Emperatriz;;;;;;;;;x;;;;;;;;
nick_augustus;Augustus;Augustus;;;;;;;;;;x;;;;;;;;;;
titrehanse;Magister Civium Primus Inter Pares;Magister Civium Primus Inter Pares;;;;;;;;;;x;;;;;;;;;;
rexrex;Rex;Rex;;;;;;;;;;x;;;;;;;;;;
Ardri;Summus Rex;Summus Rex;;;;;;;;;;x;;;;;;;;;;
dauphin;Delphinus;Delphinus;;;;;;;;;;x;;;;;;;;;;
princemag;Nagyfejedelem;Nagyfejedelem;;;;;;;;x;;;;;;;;;;;;
dxvenise;Doux;Doux;;;;;;x;;;;;;;;;;;;;;
king_slavic_pagan;Veliky Kunedz;Veliky Kunedz;;;;;;;;;;;;x;;;;;;;;
king_slavic_pagan_reformed;Krol;Krol;;;;;;;;;;;;x;;;;;;;;
king_norse_pagan;Konungr;Konungr;;;;;;;;;;;;x;;;;;;;;
king_norse_pagan_reformed;Konungr;Konungr;;;;;;;;;;;;x;;;;;;;;
duke_norse_pagan_reformed;Jarl;Jarl;;;;;;;;;;;;x;;;;;;;;
duke_norse_pagan;Jarl;Jarl;;;;;;;;;;;;x;;;;;;;;
count_norse_pagan_reformed;Jarl;Jarl;;;;;;;;;;;;x;;;;;;;;
count_norse_pagan;Jarl;Jarl;;;;;;;;;;;;x;;;;;;;;
king_greek;Despotès;Despotès;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_north_germanic;Rex;Rex;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_central_germanic;Rex;Rex;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_west_germanic;Rex;Rex;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_latin;Rex;Rex;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_iberian;Rex;Rex;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_armenian;Regas;Regas;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_georgian;Regas;Regas;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_celtic;Rex;Rex;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_magyar;Rex;Rex;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_west_slavic;Rex;Rex;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_south_slavic;Regas;Regas;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_east_slavic;Velikii Knyaz;Velikii Knyaz;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_russian;Velikii Knyaz;Velikii Knyaz;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_female_north_germanic;Regina;Regina;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_female_central_germanic;Regina;Regina;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_female_west_germanic;Regina;Regina;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_female_latin;Regina;Regina;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_female_iberian;Regina;Regina;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_female_armenian;Basilissa;Basilissa;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_female_georgian;Basilissa;Basilissa;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_female_celtic;Regina;Regina;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_female_magyar;Regina;Regina;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_female_west_slavic;Regina;Regina;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_female_south_slavic;Basilissa;Basilissa;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_female_east_slavic;Velikii Knyaz;Velikii Knyaz;Despot;;Déspota;;;;;;;;;x;;;;;;;;
king_female_russian;Velikii Knyaz;Velikii Knyaz;Despot;;Déspota;;;;;;;;;x;;;;;;;;
POPE;Pontifex Maximus;Pontifex Maximus;Despot;;Déspota;;;;;;;;;x;;;;;;;;
city_emperor;Princeps Semper Augustus;Princeps Semper Augustus;Grand Prinz;;Gran Príncipe;;;;;;;;;x;;;;;;;;
city_king_latin;Consul;Consul;Durchlauchter Doge;;Duque Sereno;;;;;;;;;x;;;;;;;;
city_king_byzantine;Doux;Doux;Durchlauchter Doge;;Duque Sereno;;;;;;;;;x;;;;;;;;
city_duke_latin;Consul;Consul;Doge;;Dux;;;;;;;;;x;;;;;;;;
city_duke_byzantine;Doux;Doux;Doge;;Dux;;;;;;;;;x;;;;;;;;
city_count_latin;Consul;Consul;Oberbürgermeister;;Gran Alcalde;;;;;;;;;x;;;;;;;;
city_count_byzantine;Demarchos;Demarchos;Oberbürgermeister;;Gran Alcalde;;;;;;;;;x;;;;;;;;
duke_central_germanic;Dux;Dux;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_west_germanic;Dux;Dux;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_latin;Dux;Dux;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_iberian;Dux;Dux;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_armenian;Doux;Doux;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_georgian;Doux;Doux;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_celtic;Dux;Dux;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_magyar;Dux;Dux;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_west_slavic;Dux;Dux;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_south_slavic;Doux;Doux;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_east_slavic;Knyaz;Knyaz;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_russian;Knyaz;Knyaz;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_serbian;Archôn;Archôn;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_bulgarian;Bolyarin;Bolyarin;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_female_central_germanic;Ducissa;Ducissa;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_female_west_germanic;Ducissa;Ducissa;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_female_latin;Ducissa;Ducissa;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_female_iberian;Ducissa;Ducissa;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_female_armenian;Doux;Doux;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_female_georgian;Doux;Doux;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_female_celtic;Ducissa;Ducissa;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_female_magyar;Ducissa;Ducissa;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_female_west_slavic;Ducissa;Ducissa;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_female_south_slavic;Doux;Doux;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_female_east_slavic;Knyaz;Knyaz;Despot;;Déspota;;;;;;;;;x;;;;;;;;
duke_female_russian;Knyaz;Knyaz;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_female_central_germanic;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_female_west_germanic;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_female_latin;Comes;Comes;Comes;;Déspota;;;;;;;;;x;;;;;;;;
count_female_iberian;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_female_greek;Katepanô;Katepanô;Doux;;Duque;;;;;;;;;x;;;;;;;;
count_female_celtic;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_female_magyar;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_female_west_slavic;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_female_south_slavic;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_female_east_slavic;Boyar;Boyar;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_central_germanic;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_west_germanic;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_latin;Comes;Comes;Comes;;Déspota;;;;;;;;;x;;;;;;;;
count_iberian;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_greek;Katepanô;Katepanô;Doux;;Duque;;;;;;;;;x;;;;;;;;
count_celtic;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_magyar;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_west_slavic;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_south_slavic;Comes;Comes;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_east_slavic;Boyar;Boyar;Despot;;Déspota;;;;;;;;;x;;;;;;;;
count_serbian;Zoupan;Zoupan;Despot;;Déspota;;;;;;;;;x;;;;;;;;
temple_king_catholic;Rex Episcopus;Rex Episcopus;König-Bischof;;Rey-obispo;;;;;;;;;x;;;;;;;;
temple_king_orthodox;Regas Patriarchos;Regas Patriarchos;König-Bischof;;Rey-obispo;;;;;;;;;x;;;;;;;;
temple_duke_catholic;Princeps Episcopus;Princeps Episcopus;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x;;;;;;;;
temple_duke_orthodox;Sebastos Patriarchos;Sebastos Patriarchos;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x;;;;;;;;
temple_count_catholic;Comes Episcopus;Comes Episcopus;Prinz-Bischof;;Príncipe obispo;;;;;;;;;x;;;;;;;;
temple_count_orthodox;Metropolitos;Metropolitos;Metropolit;;Metropolitano;;;;;;;;;x;;;;;;;;
temple_kingdom_of_catholic;Theocratia;Theocratia;Theokratie von;;Teocracia de;;;;;;;;;x;;;;;;;;
temple_kingdom_of_orthodox;Patriarchos;Patriarchos;Patriarchat von;;Patriarcado de;;;;;;;;;x;;;;;;;;
e_hre;Imperium Romanum;Imperium Romanum;Heiliges Römisches Reich;;Sacro Imperio;;;;;;;;;x;;;;;;;;
e_byzantium;Basileia tôn Rhômaiôn;Basileia tôn Rhômaiôn;Byzantinisches Kaiserreich;;Imperio Bizantino;;;;;;;;;x;;;;;;;;
kingdom_of; ; ;Königreich von;;Reino de;;;;;;;;;x;;;;;;;;
k_france;Regnum Franciae;Regnum Franciae;;;;;;;;;;x;;;;;;;;;;
k_germany;Regnum Teutonicorum;Regnum Teutonicorum;;;;;;;;;;x;;;;;;;;;;
k_italy;Regnum Italiae;Regnum Italiae;;;;;;;;;;x;;;;;;;;;;
k_england;Regnum Angliae;Regnum Angliae;;;;;;;;;;x;;;;;;;;;;
k_papal_state;Patrimonium Sancti Petri;Patrimonium Sancti Petri;;;;;;;;;;x;;;;;;;;;;
k_burgundy;Regnum Burgundiae;Regnum Burgundiae;;;;;;;;;;x;;;;;;;;;;
k_lotharingia;Regnum Francorum;Regnum Francorum;;;;;;;;;;x;;;;;;;;;;
k_bavaria;Regnum Bavariae;Regnum Bavariae;;;;;;;;;;x;;;;;;;;;;
k_sicily;Regnum Siciliae;Regnum Siciliae;;;;;;;;;;x;;;;;;;;;;
k_venice;Venetae;Venetae;;;;;;;;;;x;;;;;;;;;;
city_empire_of;Augusta Res Publica;Augusta Res Publica;Fürstentum von;;Principado de;;;;;;;;;x;;;;;;;;
city_kingdom_of;Serenissima Res Publica;Serenissima Res Publica;Höchst Durchlauchte Republik von;;La Serenísima república de;;;;;;;;;x;;;;;;;;
k_sweden;Regnum Sueciae;Regnum Sueciae;;;;;;;;;;x;;;;;;;;;;
k_denmark;Regnum Daniae;Regnum Daniae;;;;;;;;;;x;;;;;;;;;;
k_norway;Regnum Norvegiae;Regnum Norvegiae;;;;;;;;;x;;;;;;;;;;;
k_finland;Regnum Finniae;Regnum Finniae;;;;;;;;;;x;;;;;;;;;;
k_poland;Ducatus Poloniae;Ducatus Poloniae;;;;;;;;;;x;;;;;;;;;;
k_polandball;Regnum Poloniae;Regnum Poloniae;;;;;;;;;;x;;;;;;;;;;
k_pomerania;Regnum Sclavorum;Regnum Sclavorum;;;;;;;;;;x;;;;;;;;;;
k_lithuania;Magnus Ducatus Lituaniae;Magnus Ducatus Lituaniae;;;;;;;;;;x;;;;;;;;;;
k_bohemia;Regnum Bohemiae;Regnum Bohemiae;;;;;;;;;;x;;;;;;;;;;
granduche;Magnus Dux;Magnus Dux;;;;;;;;;;x;;;;;;;;;;
k_hungary;Regnum Hungariae;Regnum Hungariae;;;;;;;;;;x;;;;;;;;;;
k_magyar;Magyar Nagyfejedelemség;Magyar Nagyfejedelemség;;;;;;;;x;;;;;;;;;;;;
k_leon;Regnum Legionense;Regnum Legionense;;;;;;;;;;x;;;;;;;;;;
k_castille;Regnum Castellae;Regnum Castellae;;;;;;;;;;x;;;;;;;;;;
k_aragon;Regnum Aragoniae;Regnum Aragoniae;;;;;;;;;;x;;;;;;;;;;
k_navarra;Regnum Navarrae;Regnum Navarrae;;;;;;;;;;x;;;;;;;;;;
k_asturias;Regnum Asturorum;Regnum Asturorum;;;;;;;;;;x;;;;;;;;;;
k_spanish_galicia;Regnum Gallaeciae;Regnum Gallaeciae;;;;;;;;;;x;;;;;;;;;;
k_portugal;Regnum Portugalliae;Regnum Portugalliae;;;;;;;;;;x;;;;;;;;;;
k_wales;Principatus Cambriae;Principatus Cambriae;;;;;;;;;;x;;;;;;;;;;
k_scotland;Regnum Scotiae;Regnum Scotiae;;;;;;;;;;x;;;;;;;;;;
k_ireland;Regnum Hiberniae;Regnum Hiberniae;;;;;;;;;;x;;;;;;;;;;
k_moravia;Regnum Moraviae;Regnum Moraviae;;;;;;;;;;x;;;;;;;;;;
k_naples;Regnum Neapolitanum;Regnum Neapolitanum;;;;;;;;;;x;;;;;;;;;;
k_genoa;Genuae;Genuae;;;;;;;;;;x;;;;;;;;;;
k_pisa;Pisae;Pisae;;;;;;;;;;x;;;;;;;;;;
k_aquitaine;Regnum Aquitanae;Regnum Aquitanae;;;;;;;;;;x;;;;;;;;;;
k_brittany;Regnum Britanniae Minor;Regnum Britanniae Minor;;;;;;;;;;x;;;;;;;;;;
k_normannia;Regnum Totius Normanorum;Regnum Totius Normanorum;;;;;;;;;;x;;;;;;;;;;
k_spain;Regnum Totius Hispaniae;Regnum Totius Hispaniae;;;;;;;;;;x;;;;;;;;;;
e_latin_empire;Imperium Romaniae;Imperium Romaniae;;;;;;;;;;x;;;;;;;;;;
e_roman_empire;Imperium Romanorum;Imperium Romanorum;;;;;;;;;;x;;;;;;;;;;
k_byzantium;Rhômania;Rhômania;;;;;;;;;;x;;;;;;;;;;
k_anatolia;Anatolia;Anatolia;;;;;;;;;;x;;;;;;;;;;
k_armenia;Armenia;Armenia;;;;;;;;;x;;;;;;;;;;;
k_bulgaria;Boulgaria;Boulgaria;;;;;;;;;;x;;;;;;;;;;
k_serbia;Serbia;Serbia;;;;;;;;;;x;;;;;;;;;;
k_croatia;Regnum Croatiae;Regnum Croatiae;;;;;;;;;;x;;;;;;;;;;
k_georgia;Georgia;Georgia;;;;;;;;;;x;;;;;;;;;;
k_dacia;Vlacheia;Vlacheia;;;;;;;;;;x;;;;;;;;;;
WEST_FRANCIA;Regnum Franciae Occidentalis;Regnum Franciae Occidentalis;;;;;;;;;;x;;;;;;;;;;
EAST_FRANCIA;Regnum Franciae Orientalis;Regnum Franciae Orientalis;;;;;;;;;;x;;;;;;;;;;
k_cyprus;Regnum Cypri;Regnum Cypri;;;;;;;;;;x;;;;;;;;;;
k_hansa;Liga Hanseatica;Liga Hanseatica;;;;;;;;;;x;;;;;;;;;;
LOTHARINGIA;Lotharingia;Lotharingia;;;;;;;;x;;;;;;;;;;
LOMBARD_KINGDOM;Regnum Langobardorum;Regnum Langobardorum;;;;;;x;;;;;;;;;;
FRANCORUM;Regnum Francorum;Regnum Francorum;;;;;;x;;;;;;;;;;
KINGDOM_PANNONIA;Regnum Pannoniae;Regnum Pannoniae;;;;x;;;;;;;;;;
AVAR_KHAGANATE;Avarlar Khanlik;Avarlar Khanlik;;;;;;;;;;x;;;;;;;;;;
AUSTRASIA;Regnum Austrasiae;Regnum Austrasiae;;;;;;;;x;;;;;;;;;;
AUSTRASIA_ADJ;;Austrasien;;;;;;;;x;;;;;;;;;;
k_saxony;Sachsenkriegen;Sachsenkriegen;;;;;;x;;;;;;;;;;
saxvieuxger;Herzog;Herzog;;;;;;x;;;;;;;;;;
d_jewish;Ha-Cohen;Ha-Cohen;;;;x;;;;;;;;;;
duchy_of_norse;Jarldom of;Jarldom de;Grafschaft von;;Jarldom de;;;;;;;;;x;;
duke_finnish_pagan;High Chief;Herttua;Hoher Häuptling;;Alto mandatario;;;;;;;;;x;;
duke_female_finnish_pagan;High Chieftess;Herttuatar;Hohe Herrscherin;;Alto mandataria;;;;;;;;;x;;
duke_finnish_pagan_reformed;High Chief;Haut Chef;Hoher Häuptling;;Alto mandatario;;;;;;;;;x;;
duke_female_finnish_pagan_reformed;High Chieftess;Herttuatar;Hohe Herrscherin;;Alto mandataria;;;;;;;;;x;;
king_finnish_pagan;High Chief;Kuningas;Hoher Häuptling;;Alto mandatario;;;;;;;;;x;;
king_female_finnish_pagan;Kuninganna;Haute Cheftaine;Hohe Herrscherin;;Alto mandataria;;;;;;;;;x;;
king_finnish_pagan_reformed;Kuningas;Haut Chef;Hoher Häuptling;;Alto mandatario;;;;;;;;;x;;
king_female_finnish_pagan_reformed;kuninganna;Haute Cheftaine;Hohe Herrscherin;;Alto mandataria;;;;;;;;;x;;
duchy_of_finnish_pagan;High Chiefdom of;Herttuakunta;Hochhäuptlingstum von;;Alto Cacicazgo de;;;;;;;;;x;;
duchy_of_finnish_pagan_reformed;High Chiefdom of;Herttuakunta;Hochhäuptlingstum von;;Alto Cacicazgo de;;;;;;;;;x;;
